--- 启动每日指标增量计算任务 ---
检测到 4583 只股票需要更新指标...
进度: 0/4583 | sh.600000 指标已就绪
进度: 100/4583 | sh.600135 指标已就绪
进度: 200/4583 | sh.600268 指标已就绪
进度: 300/4583 | sh.600399 指标已就绪
进度: 400/4583 | sh.600546 指标已就绪
进度: 500/4583 | sh.600665 指标已就绪
进度: 600/4583 | sh.600784 指标已就绪
进度: 700/4583 | sh.600916 指标已就绪
进度: 800/4583 | sh.601117 指标已就绪
进度: 900/4583 | sh.601678 指标已就绪
进度: 1000/4583 | sh.603022 指标已就绪
进度: 1100/4583 | sh.603136 指标已就绪
进度: 1200/4583 | sh.603272 指标已就绪
进度: 1300/4583 | sh.603399 指标已就绪
进度: 1400/4583 | sh.603660 指标已就绪
进度: 1500/4583 | sh.603856 指标已就绪
进度: 1600/4583 | sh.605033 指标已就绪
进度: 1700/4583 | sh.605599 指标已就绪
进度: 1800/4583 | sz.000516 指标已就绪
进度: 1900/4583 | sz.000668 指标已就绪
进度: 2000/4583 | sz.000819 指标已就绪
进度: 2100/4583 | sz.000977 指标已就绪
进度: 2200/4583 | sz.001358 指标已就绪
进度: 2300/4583 | sz.002078 指标已就绪
进度: 2400/4583 | sz.002184 指标已就绪
进度: 2500/4583 | sz.002289 指标已就绪
进度: 2600/4583 | sz.002394 指标已就绪
进度: 2700/4583 | sz.002508 指标已就绪
进度: 2800/4583 | sz.002612 指标已就绪
进度: 2900/4583 | sz.002723 指标已就绪
进度: 3000/4583 | sz.002837 指标已就绪
进度: 3100/4583 | sz.002946 指标已就绪
进度: 3200/4583 | sz.300009 指标已就绪
进度: 3300/4583 | sz.300121 指标已就绪
进度: 3400/4583 | sz.300227 指标已就绪
进度: 3500/4583 | sz.300337 指标已就绪
进度: 3600/4583 | sz.300445 指标已就绪
进度: 3700/4583 | sz.300549 指标已就绪
进度: 3800/4583 | sz.300652 指标已就绪
进度: 3900/4583 | sz.300759 指标已就绪
进度: 4000/4583 | sz.300862 指标已就绪
进度: 4100/4583 | sz.300968 指标已就绪
进度: 4200/4583 | sz.301075 指标已就绪
进度: 4300/4583 | sz.301192 指标已就绪
进度: 4400/4583 | sz.301313 指标已就绪
进度: 4500/4583 | sz.301510 指标已就绪
✅ 每日指标计算任务完成。
总耗时: 593.89 秒
30: command not found
